epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,4242.71,0.29039,0.22088,0.78114,0.98984,0.99247,0.98939,0.94447,0.23464,0.19032,0.77332,7.43511e-05,7.43511e-05,7.43511e-05
85,4297.99,0.28942,0.22164,0.78156,0.98957,0.99115,0.99005,0.94305,0.23489,0.1917,0.7707,7.02228e-05,7.02228e-05,7.02228e-05
86,4353.11,0.29164,0.22138,0.78072,0.9895,0.99293,0.99085,0.94545,0.23678,0.19161,0.77114,6.60945e-05,6.60945e-05,6.60945e-05
87,4407.7,0.293,0.22284,0.78137,0.9914,0.99109,0.99138,0.945,0.23467,0.18996,0.77023,6.19662e-05,6.19662e-05,6.19662e-05
88,4459.31,0.28768,0.21939,0.78039,0.99064,0.99204,0.98995,0.94354,0.23354,0.18785,0.7728,5.78379e-05,5.78379e-05,5.78379e-05
89,4508.62,0.28715,0.21883,0.77976,0.98934,0.99339,0.99039,0.94467,0.23498,0.18904,0.77331,5.37096e-05,5.37096e-05,5.37096e-05
90,4557.42,0.29173,0.22047,0.77992,0.99031,0.99212,0.98991,0.94327,0.23539,0.18866,0.77233,4.95813e-05,4.95813e-05,4.95813e-05
91,4602.41,0.30703,0.24077,0.77728,0.98714,0.99322,0.99066,0.9403,0.25128,0.20215,0.77171,4.5453e-05,4.5453e-05,4.5453e-05
92,4647.77,0.29383,0.2251,0.77709,0.98832,0.99305,0.99047,0.94207,0.24863,0.19764,0.77259,4.13247e-05,4.13247e-05,4.13247e-05
93,4693.19,0.28834,0.22109,0.77615,0.98873,0.99225,0.99091,0.94158,0.24585,0.19437,0.77469,3.71964e-05,3.71964e-05,3.71964e-05
94,4737.97,0.28841,0.21932,0.77578,0.98848,0.99294,0.99138,0.94229,0.24229,0.19269,0.77222,3.30681e-05,3.30681e-05,3.30681e-05
95,4783.13,0.28654,0.21664,0.77531,0.98965,0.9915,0.99124,0.94316,0.24093,0.19081,0.77373,2.89398e-05,2.89398e-05,2.89398e-05
96,4828,0.28627,0.21539,0.77566,0.98986,0.99271,0.99097,0.94345,0.24154,0.1902,0.77459,2.48115e-05,2.48115e-05,2.48115e-05
97,4872.71,0.28408,0.21412,0.77569,0.99031,0.9914,0.98957,0.94218,0.23974,0.19001,0.77256,2.06832e-05,2.06832e-05,2.06832e-05
98,4917.57,0.28111,0.21218,0.77488,0.98799,0.99333,0.99143,0.94434,0.23686,0.18811,0.77137,1.65549e-05,1.65549e-05,1.65549e-05
99,4962.36,0.28056,0.21189,0.7759,0.98994,0.99254,0.99095,0.94424,0.23687,0.18702,0.7729,1.24266e-05,1.24266e-05,1.24266e-05
100,5007.1,0.28007,0.21041,0.77426,0.98934,0.99294,0.99114,0.94371,0.23759,0.18727,0.77282,8.2983e-06,8.2983e-06,8.2983e-06
